question,answer
12 x 1,12
12 x 2,24
12 x 3,36
12 x 4,48
12 x 5,60
12 x 6,72
12 x 7,84
12 x 8,96
12 x 9,108
12 x 10,120
12 x 11,132
12 x 12,144
12 x 13,156
12 x 14,168
12 x 15,180
7 x 4,28
7 x 6,42
7 x 7,49
7 x 8,56
7 x 9,63
7 x 12,84
7 x 13,91
7 x 14,98
7 x 15,105
6 x 7,42
6 x 8,48
6 x 9,54
6 x 12,72
6 x 13,78
6 x 14,84
6 x 15,90
10 x 11,110
11 x 11,121
11 x 12,132
11 x 13,143
11 x 14,154
11 x 15,165
8 x 8,64
9 x 8,72
13 x 8,104
8 x 14,112
8 x 15,120
9 + 4,13
9 + 5,14
9 + 6,15
9 + 7,16
8 + 5,13
8 + 6,14
8 + 7,15
